antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'thyme', 'basil'})",frozenset({'onion'}),0.019971039,0.283999035,0.010196694,0.510574018,1.79780195,0.004524938,1.462940244,0.452808256
"frozenset({'basil', 'onion'})",frozenset({'tomato'}),0.083805961,0.208519368,0.044286231,0.528437725,2.534238094,0.026811065,1.678422287,0.660781515
"frozenset({'basil', 'tomato'})",frozenset({'onion'}),0.083745626,0.283999035,0.044286231,0.528818444,1.862043103,0.020502555,1.519586147,0.505269625
"frozenset({'tomato paste', 'basil'})",frozenset({'onion'}),0.029624713,0.283999035,0.019126342,0.645621181,2.273321746,0.010712952,2.020439506,0.577214885
"frozenset({'basil', 'tomato sauce'})",frozenset({'onion'}),0.026306263,0.283999035,0.016109569,0.612385321,2.156293672,0.008638616,1.847197757,0.550728896
"frozenset({'basil', 'water'})",frozenset({'onion'}),0.032701822,0.283999035,0.017195608,0.525830258,1.851521288,0.007908322,1.510009818,0.475451728
"frozenset({'zucchini', 'basil'})",frozenset({'onion'}),0.018281646,0.283999035,0.011644745,0.636963696,2.242837541,0.006452775,1.972257205,0.564455404
"frozenset({'parmesan cheese', 'oregano'})",frozenset({'basil'}),0.05906842,0.205080246,0.034391215,0.582226762,2.839019227,0.022277449,1.90275413,0.688430165
"frozenset({'basil', 'parsley'})",frozenset({'oregano'}),0.044768915,0.162302401,0.024254857,0.541778976,3.338083548,0.016988755,1.828151818,0.733253892
"frozenset({'parsley', 'oregano'})",frozenset({'basil'}),0.039761072,0.205080246,0.024254857,0.610015175,2.974519418,0.016100647,2.038335089,0.691297987
"frozenset({'pepper', 'oregano'})",frozenset({'basil'}),0.029866055,0.205080246,0.015506215,0.519191919,2.531652506,0.009381277,1.653299488,0.623626341
"frozenset({'basil', 'red pepper flake'})",frozenset({'oregano'}),0.030590081,0.162302401,0.015445879,0.504930966,3.111050497,0.010481036,1.6920824,0.699977535
"frozenset({'red pepper flake', 'oregano'})",frozenset({'basil'}),0.025582237,0.205080246,0.015445879,0.603773585,2.944084553,0.010199468,2.006226045,0.677672214
"frozenset({'basil', 'red wine'})",frozenset({'oregano'}),0.01490286,0.162302401,0.010800048,0.724696356,4.465099409,0.008381278,3.042813336,0.787781011
"frozenset({'red wine', 'oregano'})",frozenset({'basil'}),0.016773259,0.205080246,0.010800048,0.643884892,3.139672904,0.007360184,2.232198905,0.693121388
"frozenset({'salt', 'oregano'})",frozenset({'basil'}),0.073367926,0.205080246,0.039761072,0.541940789,2.642579184,0.024714759,1.735408296,0.670796791
"frozenset({'salt pepper', 'oregano'})",frozenset({'basil'}),0.022625799,0.205080246,0.012730783,0.562666667,2.743641463,0.008090679,1.817651876,0.650232929
"frozenset({'basil', 'sugar'})",frozenset({'oregano'}),0.022565464,0.162302401,0.012429106,0.550802139,3.393678309,0.008766677,1.864874416,0.721618123
"frozenset({'sugar', 'oregano'})",frozenset({'basil'}),0.020936406,0.205080246,0.012429106,0.593659942,2.894769016,0.008135462,1.956291876,0.66854625
"frozenset({'thyme', 'basil'})",frozenset({'oregano'}),0.019971039,0.162302401,0.013877157,0.694864048,4.281292467,0.010635809,2.745325794,0.782043904
"frozenset({'thyme', 'oregano'})",frozenset({'basil'}),0.019971039,0.205080246,0.013877157,0.694864048,3.388254409,0.009781491,2.605133055,0.719226476
"frozenset({'oregano', 'tomato'})",frozenset({'basil'}),0.063291903,0.205080246,0.039761072,0.62821735,3.063275774,0.026781153,2.138130312,0.719062944
"frozenset({'tomato paste', 'basil'})",frozenset({'oregano'}),0.029624713,0.162302401,0.019186678,0.647657841,3.990439055,0.014378516,2.377511682,0.77227957
"frozenset({'tomato paste', 'oregano'})",frozenset({'basil'}),0.030228068,0.205080246,0.019186678,0.634730539,3.095034996,0.012987498,2.17625572,0.698001101
"frozenset({'basil', 'tomato sauce'})",frozenset({'oregano'}),0.026306263,0.162302401,0.018040304,0.685779817,4.225321442,0.013770734,2.665957321,0.783954529
"frozenset({'tomato sauce', 'oregano'})",frozenset({'basil'}),0.02727163,0.205080246,0.018040304,0.661504425,3.225588213,0.012447431,2.348390384,0.709323432
"frozenset({'basil', 'water'})",frozenset({'oregano'}),0.032701822,0.162302401,0.016833595,0.514760148,3.171611408,0.011526011,1.726357789,0.707850875
"frozenset({'water', 'oregano'})",frozenset({'basil'}),0.029866055,0.205080246,0.016833595,0.563636364,2.748369841,0.010708657,1.821691103,0.655732081
"frozenset({'basil', 'ricotta cheese'})",frozenset({'parmesan cheese'}),0.015445879,0.316640521,0.011644745,0.75390625,2.380953161,0.006753954,2.776825818,0.589099294
